the, 365
to, 340
ect, 404
and, 127
for, 184
of, 125
a, 3048
you, 164
hou, 157
in, 583
on, 553
is, 255
this, 76
enron, 33
i, 2427
be, 125
that, 62
will, 45
have, 25
with, 44
your, 59
at, 366
we, 85
s, 2294
are, 68
it, 232
by, 36
com, 53
as, 286
from, 47
gas, 29
or, 394
not, 46
me, 298
deal, 47
if, 63
meter, 29
hpl, 15
please, 36
re, 451
e, 4524
any, 34
our, 87
corp, 17
can, 43
d, 1288
all, 62
has, 24
was, 24
know, 11
need, 19
an, 537
forwarded, 10
new, 41
t, 3441
may, 7
up, 47
j, 272
mmbtu, 46
should, 10
do, 51
am, 81
get, 21
out, 28
see, 13
no, 166
there, 16
price, 7
daren, 24
but, 10
been, 11
company, 10
l, 1666
these, 11
let, 34
so, 94
would, 12
m, 1171
into, 32
xls, 2
farmer, 18
attached, 5
us, 114
information, 11
they, 2
message, 18
day, 22
time, 12
my, 26
one, 29
what, 11
only, 5
http, 9
th, 717
volume, 23
mail, 31
contract, 22
which, 10
month, 13
more, 5
robert, 7
sitara, 15
about, 6
texas, 12
nom, 43
energy, 8
pec, 16
questions, 5
www, 4
deals, 10
volumes, 9
pm, 30
ena, 4
now, 32
their, 5
file, 6
some, 15
email, 17
just, 19
also, 9
call, 16
change, 59
other, 9
here, 42
like, 7
b, 700
flow, 11
net, 4
following, 8
p, 959
production, 8
when, 5
over, 12
back, 14
want, 9
original, 2
them, 4
below, 1
o, 2969
ticket, 9
c, 1810
he, 493
could, 7
make, 8
inc, 21
report, 8
march, 2
contact, 8
were, 6
days, 4
list, 6
nomination, 16
system, 11
who, 6
april, 26
number, 7
sale, 16
don, 15
its, 8
first, 7
thanks, 25
business, 3
help, 7
per, 44
through, 4
july, 0
forward, 14
font, 0
free, 5
daily, 5
use, 25
order, 18
today, 2
r, 2371
had, 2
fw, 5
set, 12
plant, 1
statements, 3
go, 37
gary, 6
oil, 1
line, 20
sales, 9
w, 640
effective, 2
well, 4
tenaska, 0
take, 13
june, 0
x, 189
within, 2
nbsp, 0
she, 11
how, 12
north, 0
america, 0
being, 3
under, 8
next, 5
week, 10
than, 40
january, 0
last, 2
two, 4
service, 18
purchase, 2
name, 10
less, 1
height, 0
off, 11
agreement, 0
k, 440
work, 6
tap, 1
group, 8
year, 3
based, 1
transport, 5
after, 5
think, 3
made, 6
each, 6
available, 4
changes, 17
due, 9
f, 800
h, 1577
services, 3
smith, 1
send, 3
management, 5
stock, 8
sent, 16
ll, 206
co, 288
office, 0
needs, 1
cotten, 1
did, 7
actuals, 0
u, 1286
money, 6
before, 4
looking, 4
then, 11
pills, 0
online, 7
request, 8
look, 7
desk, 14
ami, 7
his, 81
same, 7
george, 1
chokshi, 2
point, 4
delivery, 1
friday, 0
does, 7
size, 1
august, 0
product, 18
pat, 21
width, 0
iv, 59
noms, 8
address, 10
above, 8
sure, 8
give, 5
october, 0
future, 3
find, 4
market, 10
n, 2605
mary, 7
vance, 6
melissa, 5
said, 1
internet, 1
still, 6
account, 13
those, 2
down, 2
link, 5
hsc, 5
rate, 9
people, 1
pipeline, 5
best, 5
actual, 2
very, 10
end, 18
home, 2
houston, 2
tu, 84
high, 8
her, 75
team, 3
products, 8
many, 2
currently, 3
spot, 0
receive, 9
good, 1
such, 4
going, 3
process, 10
feb, 1
monday, 5
info, 16
david, 1
lloyd, 2
again, 3
both, 5
click, 9
subject, 24
jackie, 13
december, 0
total, 8
na, 134
lisa, 3
ve, 193
september, 0
hours, 2
until, 1
resources, 0
because, 1
aol, 1
february, 0
where, 3
g, 828
investment, 7
issue, 8
duke, 0
since, 6
pay, 3
show, 5
way, 4
global, 15
computron, 1
further, 6
most, 1
place, 9
offer, 4
natural, 3
activity, 2
eastrans, 12
graves, 5
right, 2
prices, 4
date, 19
john, 2
utilities, 0
november, 0
clynes, 1
jan, 2
securities, 2
meeting, 6
susan, 0
hplc, 3
julie, 6
able, 18
received, 5
align, 0
term, 8
id, 89
revised, 2
thursday, 1
pg, 10
fee, 2
hplno, 0
trading, 3
additional, 3
site, 1
txu, 0
data, 7
wellhead, 1
reply, 8
taylor, 5
news, 2
unify, 10
michael, 0
provide, 6
note, 9
much, 4
access, 3
lannou, 0
every, 1
between, 0
keep, 7
tuesday, 1
review, 0
great, 0
tom, 16
put, 4
done, 0
long, 5
save, 2
section, 1
must, 1
v, 462
part, 21
nd, 205
million, 6
check, 7
trade, 3
bob, 0
created, 4
steve, 6
prior, 3
copy, 5
continue, 1
numbers, 2
via, 10
world, 9
demand, 3
hanks, 25
contracts, 6
phone, 0
transaction, 4
customer, 1
possible, 2
pefs, 0
meyers, 5
months, 1
special, 2
without, 3
used, 6
regarding, 2
software, 0
howard, 2
support, 1
buy, 13
young, 5
meters, 1
thru, 2
believe, 0
gcs, 0
cec, 0
entered, 0
control, 4
dec, 6
face, 1
create, 4
weissman, 0
st, 294
color, 0
come, 1
supply, 1
brian, 5
hplo, 0
own, 11
correct, 10
customers, 0
web, 1
allocation, 1
soon, 1
using, 4
development, 1
mark, 12
low, 39
power, 5
problem, 9
once, 9
however, 3
tickets, 6
border, 0
performance, 0
manager, 8
rates, 1
center, 0
companies, 0
risk, 3
details, 2
needed, 6
international, 2
field, 2
even, 12
someone, 3
doc, 0
fuel, 5
lee, 3
paid, 1
while, 4
start, 4
index, 0
include, 3
nominations, 5
act, 57
pricing, 0
scheduled, 3
gathering, 0
type, 5
href, 0
during, 2
aimee, 0
anything, 1
feel, 0
fuels, 4
getting, 2
advice, 1
why, 1
increase, 0
path, 14
sell, 6
works, 2
issues, 4
three, 2
enronxgate, 0
camp, 5
either, 2
form, 17
security, 2
interest, 4
financial, 5
family, 2
xp, 13
plan, 2
current, 6
top, 11
another, 0
src, 0
spreadsheet, 2
allen, 0
wednesday, 1
read, 9
him, 1
working, 1
wynne, 0
add, 22
deliveries, 12
buyback, 4
allocated, 3
firm, 13
james, 0
marketing, 5
tx, 4
results, 3
got, 6
stocks, 1
calpine, 0
might, 4
operations, 5
position, 5
logistics, 3
fax, 2
cost, 3
party, 13
zero, 4
pops, 1
old, 14
pt, 28
scheduling, 1
flowed, 2
dollars, 4
update, 11
gco, 0
katy, 0
including, 0
follow, 20
yahoo, 27
already, 0
suite, 0
error, 3
past, 6
page, 4
stop, 0
changed, 4
book, 0
program, 1
few, 1
better, 1
operating, 0
equistar, 0
move, 8
cotton, 4
aep, 0
y, 815
state, 7
ees, 1
rita, 2
provided, 4
employees, 0
period, 1
morning, 0
cd, 13
hotmail, 2
entex, 0
swing, 0
real, 3
exchange, 3
tomorrow, 0
lst, 1
counterparty, 12
parker, 0
person, 3
follows, 4
valid, 9
visit, 1
little, 1
professional, 1
quality, 2
confirm, 11
something, 2
megan, 0
brenda, 1
around, 0
windows, 1
im, 68
storage, 1
accounting, 0
called, 2
ranch, 3
tax, 1
problems, 3
case, 2
teco, 0
fact, 4
always, 1
too, 4
unsubscribe, 1
amount, 2
coastal, 0
never, 0
rodriguez, 0
love, 3
acton, 6
shut, 0
pipe, 9
project, 2
hope, 3
limited, 2
invoice, 1
credit, 3
full, 6
survey, 0
ray, 5
carlos, 0
anyone, 0
wanted, 4
yet, 4
ic, 152
scott, 8
years, 0
charlie, 0
soft, 0
notice, 3
advise, 1
addition, 8
donald, 0
lsk, 0
wish, 1
katherine, 1
website, 0
hplnl, 0
schumack, 0
prescription, 0
cover, 1
shares, 2
cash, 4
imbalance, 2
united, 2
handle, 0
big, 0
everyone, 0
style, 0
clear, 4
producer, 1
weekend, 0
city, 18
requested, 1
stone, 0
left, 0
payment, 0
mobil, 7
shows, 0
small, 2
confirmed, 5
technology, 2
meet, 6
extend, 0
life, 2
intended, 1
sherlyn, 1
schedule, 5
else, 0
letter, 0
box, 3
bill, 2
richard, 2
lamphier, 1
complete, 3
ever, 14
release, 7
newsletter, 0
anita, 8
clem, 0
having, 2
herod, 1
beginning, 1
papayoti, 1
try, 13
mike, 0
enter, 3
estimates, 0
location, 1
cut, 4
question, 7
things, 0
personal, 2
feedback, 1
cialis, 0
found, 3
area, 0
dow, 4
terms, 1
central, 0
necessary, 2
man, 29
run, 1
reason, 3
third, 1
midcon, 0
charge, 0
president, 0
de, 231
listed, 1
meds, 2
thomas, 4
thought, 3
capital, 2
added, 1
ask, 1
weeks, 2
investing, 1
commercial, 1
star, 4
several, 2
easy, 1
view, 1
